529,OCTO
530,OINV
531,ORBI
532,OTHER
533,PORI
534,TA
535,TAPE
536,UNKN
537,Lettuce
538,P mass
539,EUR
540,HCBR
541,HCE
542,HCM
543,MACR_Cal_O
544,O
545,C_massive
546,HC_fol
547,MAFR
548,Pad
549,Sarg
550,Turbin
551,Acr_bra
552,Bold
553,SOFT_RUBB
554,WATE
555,Brain
556,HC_other
557,Mix
558,mob
559,PAST
560,SMIC
561,SSID
562,Trans
563,Algae
564,BAD
565,LSUB_RUB
566,SOFT_SEDI
567,Acr_dig
568,Acr_enc
569,Acr_sub
570,Acr_tab
571,Bleach_HC
572,BMA_sand
573,BRIASB
574,CCA_DHC
575,COTS
576,Cyano
577,Gven
578,Halimeda
579,Macroalgae
580,Millepora
581,MontaCav
582,Mud
583,Mushroom
584,NonAc_Br
585,NonAc_Enc
586,NonAc_F
587,NonAc_M
588,NonAc_Sub
589,Oth-MobINV
590,Oth-SINV
591,Rec_DC
592,Rubble
593,SoftCoral
594,Sponge_enc
595,Sponge_er
596,Unknown
597,Urchin
598,ACRC
599,ACRP
600,ACRPRO
601,AGAAGA
602,AGAFRA
603,AGAGRA
604,AGALAM
605,AGAR
606,AGT
607,AGU
608,AH
609,Amphi
610,ANUN
611,AVRA
612,BrFlesAlg
613,CDIG
614,CEN
615,CFOL
616,CHON
617,CIST
618,CLAABR
619,CLION
620,CMAS
621,Cod
622,CON
623,CSC
624,DEC
625,Dicsp
626,DL
627,EFAS
628,ERYCAR
629,FAF
630,Fire Sros
631,GALA
632,GFA
633,GORG
634,GORGO
635,ISORIG
636,ISOSIN
637,Jan
638,LEPCU
639,MAA
640,MAACR
641,MAC
642,MAD
643,MADAUR
644,MADR
645,MAFO
646,MA_GLOB_Al
647,MAP
648,MEAN
649,MEANJ
650,MICRO_A
651,MIS
652,MSen
653,MUSANG
654,MYCALI
655,MYCE
656,MYCFER
657,MYD
658,MYL
659,OCCUL
660,OCD
661,ORBANN
662,ORBFAV
663,ORBFRA
664,OTH-SINV
665,PD
666,PDIG
667,PENCIL
668,PF
669,POP
670,PORBRA
671,PORCOL
672,PSECLI
673,PSESTR
674,PSEU
675,RFA
676,SCOCUB
677,SCOLA
678,SCR
679,Sediment
680,SHTC
681,SID
682,SIDRAD
683,SOL
684,SOLBOU
685,SOLE
686,SpMass
687,SPvase
688,STEINT
689,Styp
690,TRIDI
691,Turfsa
692,UdoCya
693,Inver
694,KEDH
695,KELP
696,KELPA
697,MINV_OTH
698,OTH-HC
699,RedS
700,sand_mud
701,SP_arbor
702,SP_mass
703,UnSB
704,AcEnc
705,Astreo
706,Biv
707,Blast
708,Clm
709,HCoral
710,MO
711,RockRub
712,Stylo
713,Branching
714,Digitate
715,Encrusting
716,Free
717,Massive
718,Plate
719,Bivalve
720,cysto
721,HalodUni
722,HalophOva
723,HalophStip
724,MGBC
725,OYst
726,SARG.
727,Acropora
728,NonAcSub
729,othoth
730,ALGA
731,ANNE
732,APul
733,DVers
734,KAPPA
735,Limu
736,MOBI
737,MOCH
738,MOG
739,Off
740,Sab
741,SECO
742,SPUN
743,Tgrat
744,Verme
745,ZOA
746,BMPAT
747,BPCom
748,bspon
749,Cor_juv
750,CYAN
751,CYANO
752,DLep
753,Dmcap
754,DPcom
755,DPdam
756,_GREN
757,Lep_spp
758,MCap
759,mesh
760,MPat
761,Pcom
762,PDam
763,purspon
764,RAlg
765,rspon
766,SclBar
767,TILE
768,WATER
769,BLUE_SPG
770,BUB_ALG
771,GRAY_SPG
772,NODB
